Name,Year of Manufacture,Kilometers Driven,Fuel Type,Transmission,Price
2021 KIA SELTOS HTK PLUS 1.5,2021,"30,964 km",Petrol,Manual,₹10.02 Lakh
2022 KIA SELTOS HTE 1.5 DIESEL,2022,"36,166 km",Diesel,Manual,₹11.03 Lakh
2019 KIA SELTOS HTK PLUS 1.5,2019,"27,143 km",Petrol,Manual,₹10.07 Lakh
2022 KIA SONET HTX 1.0 IMT,2022,"9,526 km",Petrol,Manual,₹10.60 Lakh
2020 KIA SONET HTK PLUS 1.5,2020,"35,537 km",Diesel,Manual,₹8.56 Lakh
2021 KIA SONET HTK PLUS 1.0 DCT,2021,"27,310 km",Petrol,Automatic,₹9.75 Lakh
2020 KIA CARNIVAL PREMIUM 2.2 7 STR,2020,"66,902 km",Diesel,Automatic,₹19.16 Lakh
2022 KIA SONET HTK PLUS 1.2,2022,"12,265 km",Petrol,Manual,₹8.95 Lakh
2020 KIA SONET HTK PLUS 1.5,2020,"67,883 km",Diesel,Manual,₹8.70 Lakh
2020 KIA SELTOS HTK PLUS AT 1.5 DIESEL,2020,"82,433 km",Diesel,Automatic,₹10.36 Lakh
2019 KIA SELTOS GTX PLUS DCT 1.4 PETROL,2019,"24,009 km",Petrol,Automatic,₹14.78 Lakh
2020 KIA SONET HTK PLUS 1.5,2020,"64,930 km",Diesel,Manual,₹8.20 Lakh
2019 KIA SELTOS GTX 1.4 PETROL DUAL TONE,2019,"11,707 km",Petrol,Manual,₹12.49 Lakh
2022 KIA SONET HTX 1.0 IMT,2022,"29,811 km",Petrol,Manual,₹10.59 Lakh
2022 KIA SONET HTK 1.5,2022,"23,502 km",Diesel,Manual,₹9.55 Lakh
2022 KIA SONET HTX 1.0 IMT,2022,"36,545 km",Petrol,Manual,₹10.61 Lakh
2022 KIA SONET HTX 1.0 IMT,2022,"20,224 km",Petrol,Manual,₹9.82 Lakh
2020 KIA SELTOS HTX PLUS AT1.5 DIESEL,2020,"89,886 km",Diesel,Automatic,₹11.59 Lakh
2022 KIA CARENS LUXURY PLUS 1.4 PETROL 6 STR,2022,"9,293 km",Petrol,Manual,₹13.64 Lakh
2022 KIA SELTOS HTX PETROL 1.5,2022,"16,721 km",Petrol,Manual,₹14.36 Lakh
2019 KIA SELTOS GTX PLUS DCT 1.4 PETROL,2019,"49,161 km",Petrol,Automatic,₹14.46 Lakh
2022 KIA CARENS LUXURY PLUS 1.5 DIESEL AT 6 STR,2022,"23,444 km",Diesel,Automatic,₹15.54 Lakh
2022 KIA SONET GTX PLUS 1.0 IMT,2022,"22,717 km",Petrol,Manual,₹11.96 Lakh
2021 KIA SELTOS HTX 1.5 PETROL,2021,"9,184 km",Petrol,Manual,₹12.21 Lakh
2022 KIA CARENS LUXURY PLUS 1.4 PETROL DCT 6 STR,2022,"32,364 km",Petrol,Automatic,₹15.29 Lakh
2022 KIA CARENS LUXURY PLUS 1.4 PETROL 6 STR,2022,"13,171 km",Petrol,Manual,₹15.06 Lakh
2022 KIA CARENS LUXURY PLUS 1.4 PETROL 6 STR,2022,"24,315 km",Petrol,Manual,₹16.09 Lakh
2022 KIA SELTOS HTK PLUS 1.5 IMT,2022,"14,160 km",Petrol,Manual,₹12.84 Lakh
2023 KIA SONET HTK PLUS 1.2,2023,"7,907 km",Petrol,Manual,₹9.64 Lakh
2022 KIA SONET HTX 1.0 IMT,2022,"34,198 km",Petrol,Manual,₹10.27 Lakh
2020 KIA SONET HTK PLUS 1.0 IMT,2020,"2,951 km",Petrol,Manual,₹8.51 Lakh
2020 KIA SONET GTX PLUS 1.5,2020,"49,820 km",Diesel,Manual,₹10.48 Lakh
